row,col,zone,sku_id,abc_class,xyz_class,velocity_score,dist_to_dispatch
3,6,GENERAL,SKU-0028,A,Y,0.7271161093231685,13.5
3,7,GENERAL,SKU-0165,B,Y,0.30146524343025016,15.0
3,9,GENERAL,SKU-0127,B,Y,0.26197949696073686,18.0
3,10,GENERAL,SKU-0184,B,Y,0.2526549806378209,19.5
3,11,GENERAL,SKU-0172,B,Y,0.24322787754643957,21.0
3,13,GENERAL,SKU-0164,B,X,0.2244153645733607,24.0
3,14,GENERAL,SKU-0055,C,Y,0.21663671346498523,25.5
3,15,GENERAL,SKU-0130,C,Y,0.20539080673611126,27.0
3,17,GENERAL,SKU-0146,C,Y,0.18505232229322596,30.0
3,18,GENERAL,SKU-0156,C,Y,0.1685539300764521,31.5
3,19,GENERAL,,,,0.0,33.0
3,21,GENERAL,,,,0.0,36.0
3,22,GENERAL,,,,0.0,37.5
3,23,GENERAL,,,,0.0,39.0
4,1,GENERAL,SKU-0012,A,Y,0.8953022176107774,7.5
4,2,GENERAL,SKU-0020,A,Y,0.8498407024115779,9.0
4,3,GENERAL,SKU-0030,A,Y,0.827082826331849,10.5
4,5,GENERAL,SKU-0001,A,X,0.7304015566036421,13.5
4,6,GENERAL,SKU-0115,B,Y,0.2976406608991357,15.0
4,7,GENERAL,SKU-0193,B,Y,0.26990286645215733,16.5
4,9,GENERAL,SKU-0195,B,Y,0.25103577653082004,19.5
4,10,GENERAL,SKU-0071,B,Y,0.24302556706278494,21.0
4,11,GENERAL,SKU-0060,C,Y,0.23421138099287225,22.5
4,13,GENERAL,SKU-0077,C,Y,0.21597816653593505,25.5
4,14,GENERAL,SKU-0137,C,Y,0.205316868391958,27.0
4,15,GENERAL,SKU-0075,C,Y,0.19425605804060625,28.5
4,17,GENERAL,SKU-0102,C,Y,0.16805438995444022,31.5
4,18,GENERAL,,,,0.0,33.0
4,19,GENERAL,,,,0.0,34.5
4,21,GENERAL,,,,0.0,37.5
4,22,GENERAL,,,,0.0,39.0
4,23,GENERAL,,,,0.0,40.5
5,1,GENERAL,SKU-0006,A,Y,0.8515591560408393,9.0
5,2,GENERAL,SKU-0031,A,Y,0.8218605102649816,10.5
5,3,GENERAL,SKU-0035,A,Y,0.7485734838321378,12.0
5,5,GENERAL,SKU-0168,B,Y,0.29141018781559147,15.0
5,6,GENERAL,SKU-0177,B,Y,0.2688445702191382,16.5
5,7,GENERAL,SKU-0139,B,Y,0.26005578479780433,18.0
5,9,GENERAL,SKU-0090,C,Y,0.2405695641351024,21.0
5,10,GENERAL,SKU-0082,C,Y,0.23378271037996418,22.5
5,11,GENERAL,SKU-0191,C,Y,0.2242715274738386,24.0
5,13,GENERAL,SKU-0166,C,Y,0.2033148830435832,27.0
5,14,GENERAL,SKU-0059,C,Y,0.19329226492475235,28.5
5,15,GENERAL,SKU-0041,C,Y,0.18504864505954022,30.0
5,17,GENERAL,,,,0.0,33.0
5,18,GENERAL,,,,0.0,34.5
5,19,GENERAL,,,,0.0,36.0
5,21,GENERAL,,,,0.0,39.0
5,22,GENERAL,,,,0.0,40.5
5,23,GENERAL,,,,0.0,42.0
6,1,GENERAL,SKU-0038,A,Y,0.8279927448420241,10.5
6,2,GENERAL,SKU-0014,A,Y,0.7596532261214319,12.0
6,3,GENERAL,SKU-0009,A,X,0.7366670976134275,13.5
6,5,GENERAL,SKU-0163,B,Y,0.26817208380077845,16.5
6,6,GENERAL,SKU-0198,B,Y,0.25954917203999145,18.0
6,7,GENERAL,SKU-0067,B,Y,0.25015711003350205,19.5
6,9,GENERAL,SKU-0105,C,Y,0.2311208181523563,22.5
6,10,GENERAL,SKU-0111,C,Y,0.2231850480627524,24.0
6,11,GENERAL,SKU-0159,B,Y,0.21577617367214333,25.5
6,13,GENERAL,SKU-0112,C,Y,0.19274646860237638,28.5
6,14,GENERAL,SKU-0160,C,Y,0.18392405572877218,30.0
6,15,GENERAL,SKU-0062,C,Y,0.16794528079341875,31.5
6,17,GENERAL,,,,0.0,34.5
6,18,GENERAL,,,,0.0,36.0
6,19,GENERAL,,,,0.0,37.5
6,21,GENERAL,,,,0.0,40.5
6,22,GENERAL,,,,0.0,42.0
6,23,GENERAL,,,,0.0,43.5
7,1,GENERAL,SKU-0027,A,Y,0.8020186178943511,12.0
7,2,GENERAL,SKU-0037,A,X,0.7419906360248463,13.5
7,3,GENERAL,SKU-0100,B,Y,0.28488185880064787,15.0
7,5,GENERAL,SKU-0128,B,Y,0.2569473189289914,18.0
7,6,GENERAL,SKU-0088,B,Y,0.2499635229143451,19.5
7,7,GENERAL,SKU-0084,B,Y,0.24034652335816717,21.0
7,9,GENERAL,SKU-0093,C,Y,0.22247906839757026,24.0
7,10,GENERAL,SKU-0066,C,Y,0.2145997720287185,25.5
7,11,GENERAL,SKU-0080,B,Y,0.203010312358529,27.0
7,13,GENERAL,SKU-0140,C,Y,0.18213565860890624,30.0
7,14,GENERAL,SKU-0094,C,Y,0.16542182165263444,31.5
7,15,GENERAL,,,,0.0,33.0
7,17,GENERAL,,,,0.0,36.0
7,18,GENERAL,,,,0.0,37.5
7,19,GENERAL,,,,0.0,39.0
7,21,GENERAL,,,,0.0,42.0
7,22,GENERAL,,,,0.0,43.5
7,23,GENERAL,,,,0.0,45.0
8,1,GENERAL,SKU-0161,B,Y,0.33378633393120943,13.5
8,2,GENERAL,SKU-0054,B,Y,0.2847891629857643,15.0
8,3,GENERAL,SKU-0042,B,Y,0.26742019239644427,16.5
8,5,GENERAL,SKU-0061,B,Y,0.24989535093798915,19.5
8,6,GENERAL,SKU-0083,B,Y,0.23940877060434917,21.0
8,7,GENERAL,SKU-0092,B,Y,0.22834832260809615,22.5
8,9,GENERAL,SKU-0143,B,Y,0.21434903568731944,25.5
8,10,GENERAL,SKU-0196,C,Y,0.20252472514624176,27.0
8,11,GENERAL,SKU-0157,C,Y,0.19183812924483212,28.5
8,13,GENERAL,SKU-0047,C,Y,0.163859086792914,31.5
8,14,GENERAL,,,,0.0,33.0
8,15,GENERAL,,,,0.0,34.5
8,17,GENERAL,,,,0.0,37.5
8,18,GENERAL,,,,0.0,39.0
8,19,GENERAL,,,,0.0,40.5
8,21,GENERAL,,,,0.0,43.5
8,22,GENERAL,,,,0.0,45.0
8,23,GENERAL,,,,0.0,46.5
9,1,GENERAL,SKU-0087,B,Y,0.28165093478599385,15.0
9,2,GENERAL,SKU-0046,B,Y,0.26534034095296166,16.5
9,3,GENERAL,SKU-0129,B,Y,0.25630289937713746,18.0
9,5,GENERAL,SKU-0081,B,Y,0.23856922951594334,21.0
9,6,GENERAL,SKU-0064,C,Y,0.2281667334705193,22.5
9,7,GENERAL,SKU-0113,B,Y,0.22181585558695308,24.0
9,9,GENERAL,SKU-0119,C,Y,0.20160504094098952,27.0
9,10,GENERAL,SKU-0182,C,Y,0.19132816134666808,28.5
9,11,GENERAL,SKU-0152,C,Y,0.18176734025899727,30.0
9,13,GENERAL,,,,0.0,33.0
9,14,GENERAL,,,,0.0,34.5
9,15,GENERAL,,,,0.0,36.0
9,17,GENERAL,,,,0.0,39.0
9,18,GENERAL,,,,0.0,40.5
9,19,GENERAL,,,,0.0,42.0
9,21,GENERAL,,,,0.0,45.0
9,22,GENERAL,,,,0.0,46.5
9,23,GENERAL,,,,0.0,48.0
10,1,GENERAL,SKU-0040,B,Y,0.2644123986291972,16.5
10,2,GENERAL,SKU-0192,B,Y,0.2562403371952534,18.0
10,3,GENERAL,SKU-0072,B,Y,0.24796973305536002,19.5
10,5,GENERAL,SKU-0048,C,Y,0.22742949731874887,22.5
10,6,GENERAL,SKU-0053,C,Y,0.22163689687927035,24.0
10,7,GENERAL,SKU-0078,C,Y,0.2142715766825463,25.5
10,9,GENERAL,SKU-0173,C,Z,0.19015890838884136,28.5
10,10,GENERAL,SKU-0065,C,Y,0.18175682748610467,30.0
10,11,GENERAL,SKU-0095,C,Y,0.16314523373193623,31.5
10,13,GENERAL,,,,0.0,34.5
10,14,GENERAL,,,,0.0,36.0
10,15,GENERAL,,,,0.0,37.5
10,17,GENERAL,,,,0.0,40.5
10,18,GENERAL,,,,0.0,42.0
10,19,GENERAL,,,,0.0,43.5
10,21,GENERAL,,,,0.0,46.5
10,22,GENERAL,,,,0.0,48.0
10,23,GENERAL,,,,0.0,49.5
11,1,GENERAL,SKU-0079,B,Y,0.25431178020981066,18.0
11,2,GENERAL,SKU-0155,B,Y,0.24708037931793736,19.5
11,3,GENERAL,SKU-0154,B,Y,0.2369430198759952,21.0
11,5,GENERAL,SKU-0151,C,X,0.21834879680128466,24.0
11,6,GENERAL,SKU-0147,C,Y,0.21414724860530113,25.5
11,7,GENERAL,SKU-0199,C,Y,0.19965241194258954,27.0
11,9,GENERAL,SKU-0052,C,Y,0.18123309903957432,30.0
11,10,GENERAL,SKU-0180,C,Y,0.15613144276346955,31.5
11,11,GENERAL,,,,0.0,33.0
11,13,GENERAL,,,,0.0,36.0
11,14,GENERAL,,,,0.0,37.5
11,15,GENERAL,,,,0.0,39.0
11,17,GENERAL,,,,0.0,42.0
11,18,GENERAL,,,,0.0,43.5
11,19,GENERAL,,,,0.0,45.0
11,21,GENERAL,,,,0.0,48.0
11,22,GENERAL,,,,0.0,49.5
11,23,GENERAL,,,,0.0,51.0
12,1,GENERAL,SKU-0089,C,Y,0.24568683747082246,19.5
12,2,GENERAL,SKU-0186,C,Y,0.2367325228498942,21.0
12,3,GENERAL,SKU-0138,C,Y,0.2265416422106882,22.5
12,5,GENERAL,SKU-0050,B,Y,0.21317320218102623,25.5
12,6,GENERAL,SKU-0136,C,Y,0.1988907458962348,27.0
12,7,GENERAL,SKU-0121,C,Y,0.18911124571374777,28.5
12,9,GENERAL,SKU-0162,C,Y,0.1532076930229338,31.5
12,10,GENERAL,,,,0.0,33.0
12,11,GENERAL,,,,0.0,34.5
12,13,GENERAL,,,,0.0,37.5
12,14,GENERAL,,,,0.0,39.0
12,15,GENERAL,,,,0.0,40.5
12,17,GENERAL,,,,0.0,43.5
12,18,GENERAL,,,,0.0,45.0
12,19,GENERAL,,,,0.0,46.5
12,21,GENERAL,,,,0.0,49.5
12,22,GENERAL,,,,0.0,51.0
12,23,GENERAL,,,,0.0,52.5
13,1,GENERAL,SKU-0073,B,Y,0.23579560217089163,21.0
13,2,GENERAL,SKU-0057,B,X,0.22646538210956035,22.5
13,3,GENERAL,SKU-0120,C,Y,0.2181157934944422,24.0
13,5,GENERAL,SKU-0125,C,Y,0.19830925982856654,27.0
13,6,GENERAL,SKU-0058,C,Y,0.18798668322406933,28.5
13,7,GENERAL,SKU-0099,C,X,0.18096581514632992,30.0
13,9,GENERAL,,,,0.0,33.0
13,10,GENERAL,,,,0.0,34.5
13,11,GENERAL,,,,0.0,36.0
13,13,GENERAL,,,,0.0,39.0
13,14,GENERAL,,,,0.0,40.5
13,15,GENERAL,,,,0.0,42.0
13,17,GENERAL,,,,0.0,45.0
13,18,GENERAL,,,,0.0,46.5
13,19,GENERAL,,,,0.0,48.0
13,21,GENERAL,,,,0.0,51.0
13,22,GENERAL,,,,0.0,52.5
13,23,GENERAL,,,,0.0,54.0
14,1,GENERAL,SKU-0063,B,Y,0.22643572714322083,22.5
14,2,GENERAL,SKU-0158,B,Y,0.21792126693611152,24.0
14,3,GENERAL,SKU-0043,C,Y,0.20984925131095117,25.5
14,5,GENERAL,SKU-0170,C,Y,0.18741343290729545,28.5
14,6,GENERAL,SKU-0176,C,Y,0.18056152521929866,30.0
14,7,GENERAL,SKU-0188,C,Y,0.15195742461168105,31.5
14,9,GENERAL,,,,0.0,34.5
14,10,GENERAL,,,,0.0,36.0
14,11,GENERAL,,,,0.0,37.5
14,13,GENERAL,,,,0.0,40.5
14,14,GENERAL,,,,0.0,42.0
14,15,GENERAL,,,,0.0,43.5
14,17,GENERAL,,,,0.0,46.5
14,18,GENERAL,,,,0.0,48.0
14,19,GENERAL,,,,0.0,49.5
14,21,GENERAL,,,,0.0,52.5
14,22,GENERAL,,,,0.0,54.0
14,23,GENERAL,,,,0.0,55.5
15,1,GENERAL,SKU-0132,C,Y,0.2177027309939462,24.0
15,2,GENERAL,SKU-0069,C,Y,0.20982651240708725,25.5
15,3,GENERAL,SKU-0142,C,Y,0.19754217187562656,27.0
15,5,GENERAL,SKU-0068,C,Y,0.1767652332308693,30.0
15,6,GENERAL,SKU-0149,C,Y,0.14807012779908846,31.5
15,7,GENERAL,,,,0.0,33.0
15,9,GENERAL,,,,0.0,36.0
15,10,GENERAL,,,,0.0,37.5
15,11,GENERAL,,,,0.0,39.0
15,13,GENERAL,,,,0.0,42.0
15,14,GENERAL,,,,0.0,43.5
15,15,GENERAL,,,,0.0,45.0
15,17,GENERAL,,,,0.0,48.0
15,18,GENERAL,,,,0.0,49.5
15,19,GENERAL,,,,0.0,51.0
15,21,GENERAL,,,,0.0,54.0
15,22,GENERAL,,,,0.0,55.5
15,23,GENERAL,,,,0.0,57.0
16,1,GENERAL,SKU-0144,C,Y,0.20745811890197172,25.5
16,2,GENERAL,SKU-0118,C,Y,0.1962006928581777,27.0
16,3,GENERAL,SKU-0174,C,X,0.1870528492740029,28.5
16,5,GENERAL,SKU-0169,C,Y,0.13560761589952458,31.5
16,6,GENERAL,,,,0.0,33.0
16,7,GENERAL,,,,0.0,34.5
16,9,GENERAL,,,,0.0,37.5
16,10,GENERAL,,,,0.0,39.0
16,11,GENERAL,,,,0.0,40.5
16,13,GENERAL,,,,0.0,43.5
16,14,GENERAL,,,,0.0,45.0
16,15,GENERAL,,,,0.0,46.5
16,17,GENERAL,,,,0.0,49.5
16,18,GENERAL,,,,0.0,51.0
16,19,GENERAL,,,,0.0,52.5
16,21,GENERAL,,,,0.0,55.5
16,22,GENERAL,,,,0.0,57.0
16,23,GENERAL,,,,0.0,58.5
17,1,GENERAL,SKU-0190,C,Y,0.1950834624682528,27.0
17,2,GENERAL,SKU-0123,C,Y,0.18693651985105791,28.5
17,3,GENERAL,SKU-0086,C,Y,0.17449438036314763,30.0
17,5,GENERAL,,,,0.0,33.0
17,6,GENERAL,,,,0.0,34.5
17,7,GENERAL,,,,0.0,36.0
17,9,GENERAL,,,,0.0,39.0
17,10,GENERAL,,,,0.0,40.5
17,11,GENERAL,,,,0.0,42.0
17,13,GENERAL,,,,0.0,45.0
17,14,GENERAL,,,,0.0,46.5
17,15,GENERAL,,,,0.0,48.0
17,17,GENERAL,,,,0.0,51.0
17,18,GENERAL,,,,0.0,52.5
17,19,GENERAL,,,,0.0,54.0
17,21,GENERAL,,,,0.0,57.0
17,22,GENERAL,,,,0.0,58.5
17,23,GENERAL,,,,0.0,60.0
18,1,HAZMAT,SKU-0024,A,Y,0.9804215129772349,28.5
18,2,HAZMAT,SKU-0036,A,Y,0.8618250173545186,30.0
18,3,HAZMAT,SKU-0003,A,Y,0.7365604846765927,31.5
18,5,GENERAL,,,,0.0,34.5
18,6,GENERAL,,,,0.0,36.0
18,7,GENERAL,,,,0.0,37.5
18,9,GENERAL,,,,0.0,40.5
18,10,GENERAL,,,,0.0,42.0
18,11,GENERAL,,,,0.0,43.5
18,13,GENERAL,,,,0.0,46.5
18,14,GENERAL,,,,0.0,48.0
18,15,GENERAL,,,,0.0,49.5
18,17,GENERAL,,,,0.0,52.5
18,18,GENERAL,,,,0.0,54.0
18,19,GENERAL,,,,0.0,55.5
18,21,GENERAL,,,,0.0,58.5
18,22,GENERAL,,,,0.0,60.0
18,23,GENERAL,,,,0.0,61.5
19,1,HAZMAT,SKU-0000,A,Y,0.8939179717387635,30.0
19,2,HAZMAT,SKU-0131,B,X,0.2644349138571415,31.5
19,3,HAZMAT,SKU-0116,B,Y,0.25808029611050753,33.0
19,5,GENERAL,,,,0.0,36.0
19,6,GENERAL,,,,0.0,37.5
19,7,GENERAL,,,,0.0,39.0
19,9,GENERAL,,,,0.0,42.0
19,10,GENERAL,,,,0.0,43.5
19,11,GENERAL,,,,0.0,45.0
19,13,GENERAL,,,,0.0,48.0
19,14,GENERAL,,,,0.0,49.5
19,15,GENERAL,,,,0.0,51.0
19,17,GENERAL,,,,0.0,54.0
19,18,GENERAL,,,,0.0,55.5
19,19,GENERAL,,,,0.0,57.0
19,21,GENERAL,,,,0.0,60.0
19,22,GENERAL,,,,0.0,61.5
19,23,GENERAL,,,,0.0,63.0
